"auc","item","ownerRealm","bid","buyout","quantity","timeLeft","rand","seed","context","itemname","itemclass","vendorprice"
"1546673251","47556","Blade's Edge","18810","19800","1","LONG","0","0","0","Crusader Orb","7","2000"
"1546673252","47556","Blade's Edge","18810","19800","1","LONG","0","0","0","Crusader Orb","7","2000"
"1546673253","47556","Blade's Edge","18810","19800","1","LONG","0","0","0","Crusader Orb","7","2000"
"1546673254","47556","Blade's Edge","18810","19800","1","LONG","0","0","0","Crusader Orb","7","2000"
"1546673255","47556","Blade's Edge","18810","19800","1","LONG","0","0","0","Crusader Orb","7","2000"
"1546673257","154123","Blade's Edge","127775","134500","1","LONG","0","0","0","Amberblaze","7","35000"
"1546673258","17724","Blade's Edge","45980","48400","1","LONG","0","0","11","Pattern: Green Holiday Shirt","9","375"
"1546673259","30306","Blade's Edge","229900","242000","1","LONG","0","0","0","Pattern: Boots of Utter Darkness","9","60000"
"1546673260","165692","Blade's Edge","5614500","5910000","1","LONG","0","0","0","Vantus Rune: Battle of Dazar'alor","0","4852"
"1546673261","165692","Blade's Edge","5614500","5910000","1","LONG","0","0","0","Vantus Rune: Battle of Dazar'alor","0","4852"
"1546673262","165692","Blade's Edge","5614500","5910000","1","LONG","0","0","0","Vantus Rune: Battle of Dazar'alor","0","4852"
"1546673263","165692","Blade's Edge","5614500","5910000","1","LONG","0","0","0","Vantus Rune: Battle of Dazar'alor","0","4852"
"1546673232","52977","Blade's Edge","63080","66400","2","LONG","0","0","0","Savage Leather Scraps","7","325"
"1546673233","52329","Blade's Edge","2275250","2395000","2","LONG","0","0","0","Volatile Life","7","875"
"1546673234","153627","Blade's Edge","10440500","10990000","1","LONG","0","0","0","Eight of Fathoms","7","30000"
"1546673235","153627","Blade's Edge","10440500","10990000","1","LONG","0","0","0","Eight of Fathoms","7","30000"
"1546673237","13055","Blade's Edge","2046202","2153897","1","LONG","0","0","11","Bonechewer","2","29367"
"1546869846","163576","Eonar","2482899997","2482899997","1","VERY_LONG","0","0","0","Captured Dune Scavenger","15","1"
"1546673238","82800","Blade's Edge","46655555","49111111","1","LONG","0","0","0","Pet Cage","17","0"
"1546607685","103977","Eonar","43272500","45550000","1","VERY_LONG","0","0","0","Time-Worn Journal","15","0"
"1546673244","152812","Blade's Edge","2726500","2870000","1","LONG","0","0","0","Monel-Hardened Hoofplates","0","0"
"1546673245","152812","Blade's Edge","2726500","2870000","1","LONG","0","0","0","Monel-Hardened Hoofplates","0","0"
"1546673246","152812","Blade's Edge","2726500","2870000","1","LONG","0","0","0","Monel-Hardened Hoofplates","0","0"
"1546673247","152812","Blade's Edge","2726500","2870000","1","LONG","0","0","0","Monel-Hardened Hoofplates","0","0"
"1546673217","52979","Blade's Edge","137750","145000","5","LONG","0","0","0","Blackened Dragonscale","7","10250"
"1546673219","82800","Blade's Edge","2842875","2992500","1","LONG","0","0","0","Pet Cage","17","0"
"1546673220","164368","Blade's Edge","4310625","4537500","1","LONG","0","0","11","Plundered Crimson Captain's Hat","4","1"
"1546673221","52328","Blade's Edge","1865800","1964000","4","LONG","0","0","0","Volatile Air","7","875"
"1546673222","45100","Blade's Edge","466450","491000","1","LONG","0","0","3","Pattern: Belt of Arctic Life","9","25000"
"1546673223","52976","Blade's Edge","5387925","5671500","57","LONG","0","0","0","Savage Leather","7","425"
"1546673224","71998","Blade's Edge","1064950","1121000","19","LONG","0","0","0","Essence of Destruction","7","2000"
"1546673225","4304","Blade's Edge","8521500","8970000","60","LONG","0","0","0","Thick Leather","7","300"
"1546673227","72162","Blade's Edge","1085280","1142400","24","LONG","0","0","0","Sha-Touched Leather","7","550"
"1546673228","82800","Blade's Edge","28120000","29600000","1","LONG","0","0","0","Pet Cage","17","0"
"1546607698","162011","Vek'nilash","37999999","38000000","1","VERY_LONG","0","0","0","Violet Truffle","0","100000"
"1546673229","79101","Blade's Edge","641250","675000","5","LONG","0","0","0","Prismatic Scale","7","500"
"1546673230","82800","Blade's Edge","2842875","2992500","1","LONG","0","0","0","Pet Cage","17","0"
"1546673231","82800","Blade's Edge","28120000","29600000","1","LONG","0","0","0","Pet Cage","17","0"
"1546673328","82800","Blade's Edge","19218500","20230000","1","LONG","0","0","0","Pet Cage","17","0"
"1546607787","7191","Vek'nilash","2893232","3045512","8","LONG","0","0","0","Fused Wiring","7","0"
"1546607782","10940","Vek'nilash","195560","205860","10","LONG","0","0","0","Strange Dust","7","0"
"1546607781","10940","Vek'nilash","391120","411720","20","LONG","0","0","0","Strange Dust","7","0"
"1546607780","10940","Vek'nilash","391120","411720","20","LONG","0","0","0","Strange Dust","7","0"
"1546607779","10940","Vek'nilash","391120","411720","20","LONG","0","0","0","Strange Dust","7","0"
"1546607778","10940","Vek'nilash","391120","411720","20","LONG","0","0","0","Strange Dust","7","0"
"1546607777","10940","Vek'nilash","391120","411720","20","LONG","0","0","0","Strange Dust","7","0"
"1546607776","10940","Vek'nilash","391120","411720","20","LONG","0","0","0","Strange Dust","7","0"
"1546673312","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673313","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673314","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673315","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673316","82800","Blade's Edge","3306000","3480000","1","LONG","0","0","0","Pet Cage","17","0"
"1546607802","774","Vek'nilash","42702","44950","2","LONG","0","0","0","Malachite","7","50"
"1546673317","72007","Blade's Edge","7419500","7810000","1","LONG","0","0","0","Pattern: Rended Earth Leggings","9","18750"
"1546673318","869","Blade's Edge","227995813","239995593","1","LONG","0","0","54","Dazzling Longsword","2","18529"
"1546673321","153632","Blade's Edge","11295500","11890000","1","LONG","0","0","0","Six of Blockades","7","1"
"1546673323","82800","Blade's Edge","18952500","19950000","1","LONG","0","0","0","Pet Cage","17","0"
"1546673296","45097","Blade's Edge","4747625","4997500","1","LONG","0","0","3","Pattern: Lightning Grounded Boots","9","25000"
"1546673297","2318","Blade's Edge","5130","5400","1","LONG","0","0","0","Light Leather","7","15"
"1546673298","2319","Blade's Edge","12540","13200","1","LONG","0","0","0","Medium Leather","7","50"
"1545886855","163955","Eonar","750002825","850000000","1","LONG","0","0","54","Khayurn, Blade of the Wolves","2","1228550"
"1546673299","153607","Blade's Edge","28946500","30470000","1","LONG","0","0","0","Two of the Tides","7","30000"
"1546673301","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673302","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673303","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673304","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673305","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673306","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673307","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673308","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673309","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673310","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673311","154128","Blade's Edge","331550","349000","1","LONG","0","0","0","Versatile Royal Quartz","3","35000"
"1546673280","5500","Blade's Edge","265050","279000","2","LONG","0","0","0","Iridescent Pearl","7","750"
"1546607774","10940","Vek'nilash","391120","411720","20","LONG","0","0","0","Strange Dust","7","0"
"1546607773","10940","Vek'nilash","391120","411720","20","LONG","0","0","0","Strange Dust","7","0"
"1546673282","82800","Blade's Edge","3306000","3480000","1","LONG","0","0","0","Pet Cage","17","0"
"1546607772","10940","Vek'nilash","391120","411720","20","LONG","0","0","0","Strange Dust","7","0"
"1546673283","37779","Blade's Edge","80354417","84583597","1","LONG","0","0","0","Nixod's Chain-Threshed Spaulders","4","53514"
"1546673284","37700","Blade's Edge","8930","9400","2","LONG","0","0","0","Crystallized Air","7","600"
"1546673285","82800","Blade's Edge","1881000","1980000","1","LONG","0","0","0","Pet Cage","17","0"
"1546673286","69237","Blade's Edge","6175","6500","1","LONG","0","0","0","Living Ember","7","2000"
"1546673287","82800","Blade's Edge","142025","149500","1","LONG","0","0","0","Pet Cage","17","0"
"1546673288","153610","Blade's Edge","6251000","6580000","1","LONG","0","0","0","Five of the Tides","7","30000"
"1546673289","153610","Blade's Edge","6251000","6580000","1","LONG","0","0","0","Five of the Tides","7","30000"
"1546607765","152577","Eonar","1885750","1985000","5","LONG","0","0","0","Deep Sea Satin","7","1"
"1546673290","153610","Blade's Edge","6251000","6580000","1","LONG","0","0","0","Five of the Tides","7","30000"
"1546607764","152577","Eonar","1885750","1985000","5","LONG","0","0","0","Deep Sea Satin","7","1"
"1546673291","153610","Blade's Edge","6251000","6580000","1","LONG","0","0","0","Five of the Tides","7","30000"
"1546607763","152577","Eonar","1885750","1985000","5","LONG","0","0","0","Deep Sea Satin","7","1"
"1546673292","82800","Blade's Edge","6118000","6440000","1","LONG","0","0","0","Pet Cage","17","0"
"1546607762","152577","Eonar","1885750","1985000","5","LONG","0","0","0","Deep Sea Satin","7","1"
"1546673293","102542","Blade's Edge","170050","179000","2","LONG","0","0","0","Ancient Pandaren Spices","7","7500"
"1546607761","152577","Eonar","1885750","1985000","5","LONG","0","0","0","Deep Sea Satin","7","1"
"1546673294","153628","Blade's Edge","12255000","12900000","1","LONG","0","0","0","Two of Blockades","7","1"
"1546673295","82800","Blade's Edge","23512500","24750000","1","LONG","0","0","0","Pet Cage","17","0"
"1546935540","153614","Eonar","3299991","3299991","1","VERY_LONG","0","0","0","Two of Squalls","7","30000"
"1546935541","52985","Eonar","2319555","2319555","5","VERY_LONG","0","0","0","Azshara's Veil","7","2077"
"1546935543","41594","Eonar","31324594","31324594","2","VERY_LONG","0","0","0","Moonshroud","7","10000"
"1546149100","774","Vek'nilash","51600","51600","4","VERY_LONG","0","0","0","Malachite","7","50"
"1546870007","8178","Vek'nilash","5035","5300","1","VERY_LONG","0","0","27","Training Sword","2","306"
"1546935536","41593","Eonar","44183556","44183556","3","VERY_LONG","0","0","0","Ebonweave","7","10000"
"1546149101","80433","Vek'nilash","484302","484302","2","VERY_LONG","0","0","0","Blood Spirit","7","5000"
"1546673401","33470","Blade's Edge","271700","286000","44","LONG","0","0","0","Frostweave Cloth","7","1250"
"1546149090","1468","Vek'nilash","125940","125940","60","VERY_LONG","0","0","0","Murloc Fin","7","28"
"1546607844","55719","Vek'nilash","19674917","20710439","1","LONG","0","0","5","Mystral Robe","4","98818"
"1546935545","41595","Eonar","17935555","17935555","1","VERY_LONG","0","0","0","Spellweave","7","10000"
"1546149094","124120","Vek'nilash","368524","368524","38","VERY_LONG","0","0","0","Leyblood","7","30"
"1546935547","17012","Eonar","29347493","29347493","7","VERY_LONG","0","0","0","Core Leather","7","1000"
"1546149114","6889","Vek'nilash","61998","61998","2","VERY_LONG","0","0","0","Small Egg","7","4"
"1546607868","36053","Vek'nilash","6797211","7154959","1","LONG","0","0","0","Vizier Robe","4","92311"
"1546673379","153707","Blade's Edge","2363125","2487500","1","LONG","0","0","0","Kraken's Eye of Strength","3","45000"
"1546673380","153707","Blade's Edge","2363125","2487500","1","LONG","0","0","0","Kraken's Eye of Strength","3","45000"
"1546673381","153707","Blade's Edge","2363125","2487500","1","LONG","0","0","0","Kraken's Eye of Strength","3","45000"
"1546673382","153707","Blade's Edge","2363125","2487500","1","LONG","0","0","0","Kraken's Eye of Strength","3","45000"
"1546673383","153707","Blade's Edge","2363125","2487500","1","LONG","0","0","0","Kraken's Eye of Strength","3","45000"
"1546673384","153707","Blade's Edge","2363125","2487500","1","LONG","0","0","0","Kraken's Eye of Strength","3","45000"
"1546673385","153707","Blade's Edge","2363125","2487500","1","LONG","0","0","0","Kraken's Eye of Strength","3","45000"
"1546673386","153707","Blade's Edge","2363125","2487500","1","LONG","0","0","0","Kraken's Eye of Strength","3","45000"
"1546673387","153707","Blade's Edge","2363125","2487500","1","LONG","0","0","0","Kraken's Eye of Strength","3","45000"
"1546869998","15211","Vek'nilash","90250","95000","1","VERY_LONG","0","0","30","Militant Shortsword","2","1916"
"1546935529","82800","Eonar","1332497","1332497","1","VERY_LONG","0","0","0","Pet Cage","17","0"
"1546935530","90580","Eonar","161954211","161954211","1","VERY_LONG","0","0","0","Cristof's Crushing Cloak","4","611304"
"1546673360","159959","Blade's Edge","638970","672600","59","LONG","0","0","0","Nylon Thread","7","1500"
"1546149066","95409","Vek'nilash","31691700","31691700","1","VERY_LONG","0","0","0","Iron-Bound Zandalari Journal","0","20445"
"1546149067","95409","Vek'nilash","31691700","31691700","1","VERY_LONG","0","0","0","Iron-Bound Zandalari Journal","0","20445"
"1546149068","124438","Vek'nilash","5214","5214","11","VERY_LONG","0","0","0","Unbroken Claw","7","1"
"1546149080","72988","Vek'nilash","76040","76040","10","VERY_LONG","0","0","0","Windwool Cloth","7","1750"
"1546673351","72120","Blade's Edge","1692900","1782000","135","LONG","0","0","0","Exotic Leather","7","156"
"1546149075","74844","Vek'nilash","1359800","1359800","200","VERY_LONG","0","0","0","Red Blossom Leek","7","300"
"1546149076","74844","Vek'nilash","244764","244764","36","VERY_LONG","0","0","0","Red Blossom Leek","7","300"
"1546149078","2835","Vek'nilash","1056600","1056600","100","VERY_LONG","0","0","0","Rough Stone","7","2"
"1546673359","72988","Blade's Edge","25460","26800","4","LONG","0","0","0","Windwool Cloth","7","1750"
"1546607917","55493","Vek'nilash","3412027","3591608","1","LONG","0","0","28","Ravencrest Vambraces","4","49691"
"1546935606","11226","Eonar","292642854","292642854","1","VERY_LONG","0","0","0","Formula: Enchant Gloves - Riding Skill","9","1550"
"1546870064","65891","Eonar","712110500","749590000","1","LONG","0","0","0","Vial of the Sands","15","250000"
"1546935601","153430","Eonar","661098","661098","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Herbalism","8","625"
"1546935603","30307","Eonar","4917499","4917499","1","VERY_LONG","0","0","0","Pattern: Boots of the Crimson Hawk","9","60000"
"1546607911","7459","Vek'nilash","3532353","3718267","1","LONG","0","0","0","Knight's Pauldrons","4","5005"
"1546804537","7552","Blade's Edge","11330","21330","1","VERY_LONG","0","0","0","Falcon's Hook","4","2542"
"1546607904","6567","Vek'nilash","6393734","6730247","1","LONG","0","0","53","Shimmering Armor","4","1813"
"1546935589","153431","Eonar","367694","367694","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Mining","8","625"
"1546804512","5266","Blade's Edge","23594","33258","1","VERY_LONG","0","0","11","Eye of Adaegus","4","11157"
"1546607931","36272","Vek'nilash","8850121","9315917","1","LONG","0","0","0","Ulduar Legguards","4","60703"
"1546673446","152577","Blade's Edge","20160900","21222000","54","LONG","0","0","0","Deep Sea Satin","7","1"
"1546870053","44413","Eonar","313490500","329990000","1","LONG","0","0","0","Mekgineer's Chopper","15","0"
"1546149183","94573","Vek'nilash","9129999","9129999","1","VERY_LONG","0","0","0","Direhorn Runt","15","625000"
"1546149168","127748","Vek'nilash","96033","96033","1","VERY_LONG","0","0","31","Cinder Pup","15","0"
"1546935596","153430","Eonar","661098","661098","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Herbalism","8","625"
"1546149171","127748","Vek'nilash","96033","96033","1","VERY_LONG","0","0","31","Cinder Pup","15","0"
"1546607924","24909","Vek'nilash","3790310","3989800","1","LONG","0","0","0","Talhide Lined-Bracers","4","24738"
"1546935599","153430","Eonar","661098","661098","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Herbalism","8","625"
"1546935592","153430","Eonar","661098","661098","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Herbalism","8","625"
"1546149173","116692","Vek'nilash","28869997","28869997","1","VERY_LONG","0","0","31","Fuzzy Green Lounge Cushion","15","0"
"1546935593","153430","Eonar","661098","661098","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Herbalism","8","625"
"1546149128","113261","Vek'nilash","4038789","4038789","97","VERY_LONG","0","0","0","Sorcerous Fire","7","1000"
"1546935573","153431","Eonar","367694","367694","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Mining","8","625"
"1546935574","153431","Eonar","367694","367694","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Mining","8","625"
"1546149131","109129","Vek'nilash","199367","199367","19","VERY_LONG","0","0","0","Talador Orchid","7","2462"
"1546935575","153431","Eonar","367694","367694","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Mining","8","625"
"1546673429","53010","Blade's Edge","373920","393600","24","LONG","0","0","0","Embersilk Cloth","7","1500"
"1546935569","15416","Eonar","12295971","12295971","29","VERY_LONG","0","0","0","Black Dragonscale","7","1000"
"1546149134","2452","Vek'nilash","48749","48749","1","VERY_LONG","0","0","0","Swiftthistle","7","15"
"1546935571","153476","Eonar","1997496","1997496","1","VERY_LONG","0","0","0","Enchant Weapon - Coastal Surge","8","625"
"1546149123","2672","Vek'nilash","1363257","1363257","21","VERY_LONG","0","0","0","Stringy Wolf Meat","7","4"
"1546804505","10137","Blade's Edge","43201","56528","1","VERY_LONG","0","0","54","High Councillor's Boots","4","26827"
"1546935578","153431","Eonar","367694","367694","1","VERY_LONG","0","0","0","Enchant Gloves - Kul Tiran Mining","8","625"
"1546149148","124119","Vek'nilash","66648","66648","4","VERY_LONG","0","0","0","Big Gamy Ribs","7","30"
"1546607899","36151","Vek'nilash","15899077","16735871","1","LONG","0","0","0","Pygmy Helmet","4","43476"
"1546935552","22449","Eonar","239960","239960","4","VERY_LONG","0","0","0","Large Prismatic Shard","7","0"
"1546149151","74841","Vek'nilash","8044231","8044231","169","VERY_LONG","0","0","0","Juicycrunch Carrot","7","300"
"1546935564","15412","Eonar","2677499","2677499","1","VERY_LONG","0","0","0","Juicycrunch Carrot","7","500"
"1546607893","9777","Vek'nilash","1485914","1564121","1","LONG","0","0","27","Bandit Bracers","4","448"
"1546935567","18562","Eonar","36569997","36569997","3","VERY_LONG","0","0","0","Elementium Ingot","7","1000"
"1546935563","72163","Eonar","1269999","1269999","1","VERY_LONG","0","0","0","Magnificent Hide","7","32500"
"1546607983","25019","Vek'nilash","7338031","7724244","1","LONG","0","0","0","Shattered Hand Legplates","4","48639"
"1546607981","36153","Vek'nilash","18209073","19167446","1","LONG","0","0","0","Pygmy Shoulders","4","43812"
"1546607977","6336","Vek'nilash","7831981","8244191","1","LONG","0","0","26","Infantry Tunic","4","356"
"1546607973","12426","Vek'nilash","23595693","24837572","1","LONG","0","0","0","Imperial Plate Boots","4","21068"
"1546607992","82200","Vek'nilash","5811845","6117732","1","LONG","0","0","36","Trellised Shoulderpads","4","100431"
"1546804587","168651","Blade's Edge","8266460","8349960","1","LONG","0","0","0","Greater Flask of the Currents","0","2500"
"1546607988","6560","Vek'nilash","15282703","16087056","1","LONG","0","0","27","Soldier's Shield","4","616"
"1546804585","168651","Blade's Edge","8266460","8349960","1","LONG","0","0","0","Greater Flask of the Currents","0","2500"
"1546607987","55594","Vek'nilash","11438524","12040552","1","LONG","0","0","28","Talondeep Gauntlets","4","51472"
"1546804588","168651","Blade's Edge","8266460","8349960","1","LONG","0","0","0","Greater Flask of the Currents","0","2500"
"1546149186","163698","Vek'nilash","907531","907531","1","VERY_LONG","0","0","0","Thundering Essence","15","1"
"1546607940","24994","Vek'nilash","22297957","23471534","1","LONG","0","0","29","Warmaul Helmet","4","33296"
"1546804569","7527","Blade's Edge","345436","431794","1","VERY_LONG","0","0","54","Cabalist Chestpiece","4","15798"
"1546149189","71635","Vek'nilash","3309999","3309999","1","VERY_LONG","0","0","0","Imbued Crystal","12","0"
"1546607936","9900","Vek'nilash","27810974","29274710","1","LONG","0","0","0","Jazeraint Gauntlets","4","3748"
"1546935617","47628","Eonar","23435998","23435998","1","VERY_LONG","0","0","0","Pattern: Ensorcelled Nerubian Breastplate","9","25000"
"1546607958","10059","Vek'nilash","1137188","1197041","1","LONG","0","0","54","Duskwoven Bracers","4","8341"
"1546608046","152577","Eonar","3771500","3970000","10","LONG","0","0","0","Deep Sea Satin","7","1"
"1546608045","152577","Eonar","3771500","3970000","10","LONG","0","0","0","Deep Sea Satin","7","1"
"1546608044","152577","Eonar","3771500","3970000","10","LONG","0","0","0","Deep Sea Satin","7","1"
"1546608043","17725","Vek'nilash","64786","68196","1","LONG","0","0","0","Formula: Enchant Weapon - Winter's Might","9","750"
"1546608042","152577","Eonar","3771500","3970000","10","LONG","0","0","0","Deep Sea Satin","7","1"
"1546608041","152577","Eonar","3771500","3970000","10","LONG","0","0","0","Deep Sea Satin","7","1"
"1546608037","6661","Vek'nilash","2622448","2760472","1","LONG","0","0","0","Recipe: Savory Deviate Delight","9","115"
"1546935736","158203","Eonar","5999994","5999994","3","VERY_LONG","0","0","0","Incendiary Ammunition","0","300"
"1546935714","158203","Eonar","5999994","5999994","3","VERY_LONG","0","0","0","Incendiary Ammunition","0","300"
"1546935703","158203","Eonar","5999994","5999994","3","VERY_LONG","0","0","0","Incendiary Ammunition","0","300"
"1546935697","158203","Eonar","5999994","5999994","3","VERY_LONG","0","0","0","Incendiary Ammunition","0","300"
"1546935686","12607","Eonar","1247499","1247499","1","VERY_LONG","0","0","0","Brilliant Chromatic Scale","12","8048"
"1546542486","118344","Vek'nilash","9196000","9680000","1","VERY_LONG","0","0","1","Arcane Crystal Casing","15","32189"
"1546870152","154888","Blade's Edge","51248","51248","1","VERY_LONG","0","0","0","Sailor's Pie","0","1250"
"1546608109","4566","Vek'nilash","6856979","7217873","1","LONG","0","0","25","Sturdy Quarterstaff","2","631"
"1546935804","154888","Eonar","512470","512470","10","VERY_LONG","0","0","0","Sailor's Pie","0","1250"
"1546542564","164364","Vek'nilash","237500000","250000000","1","VERY_LONG","0","0","31","Plundered Carapace Linked Longsword","2","712051"
"1546935807","154888","Eonar","512470","512470","10","VERY_LONG","0","0","0","Sailor's Pie","0","1250"
"1546935802","154884","Eonar","739980","739980","4","VERY_LONG","0","0","0","Swamp Fish 'n Chips","0","1250"
"1546935781","152639","Eonar","5239999","5239999","1","VERY_LONG","0","0","0","Flask of Endless Fathoms","0","2500"
"1546935777","152639","Eonar","5239999","5239999","1","VERY_LONG","0","0","0","Flask of Endless Fathoms","0","2500"
"1546935788","152557","Eonar","3849990","3849990","5","VERY_LONG","0","0","0","Steelskin Potion","0","2500"
"1546935784","168314","Eonar","675196","675196","4","VERY_LONG","0","0","0","Bil'Tong","0","1250"
"1546935785","156525","Eonar","17999901","17999901","3","VERY_LONG","0","0","0","Galley Banquet","0","1250"
"1546870227","152576","Eonar","9385800","9879800","200","VERY_LONG","0","0","0","Tidespray Linen","7","1"
"1546870226","152576","Eonar","9385800","9879800","200","VERY_LONG","0","0","0","Tidespray Linen","7","1"
"1546870225","152576","Eonar","9385800","9879800","200","VERY_LONG","0","0","0","Tidespray Linen","7","1"
"1546870224","152576","Eonar","9385800","9879800","200","VERY_LONG","0","0","0","Tidespray Linen","7","1"
"1546870228","152576","Eonar","9385800","9879800","200","VERY_LONG","0","0","0","Tidespray Linen","7","1"
"1546608070","17201","Vek'nilash","7042817","7413492","1","LONG","0","0","0","Recipe: Winter Veil Egg Nog","9","60"
"1546542528","31291","Vek'nilash","51737000","54460000","1","VERY_LONG","0","0","28","Crystalforged War Axe","2","94071"
"1546542529","118197","Vek'nilash","18990500","19990000","1","VERY_LONG","0","0","22","Auction Memory Socket","15","32189"
"1546870210","152577","Eonar","18667450","19649950","50","VERY_LONG","0","0","0","Deep Sea Satin","7","1"
"1546608090","36667","Vek'nilash","8358252","8798161","1","LONG","0","0","0","Solid Ice Wand","2","158376"
